Store,DayOfWeek,Sales,Open,Promo,SchoolHoliday,Date_convert,StateHoliday_convert,outlier
443,6,3728,1,0,0,101,0,1
851,2,5652,1,1,0,122,0,1
986,4,5763,1,1,0,35,0,1
379,3,4190,1,1,0,286,0,1
578,2,9727,1,0,0,408,0,1
23,2,6959,1,1,0,268,0,1
650,1,7824,1,1,0,165,0,1
202,4,5741,1,0,0,311,0,1
677,2,7748,1,1,0,27,0,1
1073,2,5554,1,0,0,551,0,1
571,2,5346,1,0,0,425,0,1
882,3,5784,1,1,0,413,0,1
546,1,18815,1,1,0,178,0,-1
959,3,7667,1,1,0,321,0,1
979,2,4804,1,0,0,500,0,1
510,3,9489,1,1,0,73,0,1
933,1,7037,1,0,1,143,0,1
422,3,3794,1,1,1,118,0,1
1067,6,5745,1,0,0,491,0,1
411,4,9291,1,1,0,266,0,1
41,1,8418,1,0,1,371,0,1
101,5,8621,1,1,0,107,0,1
1050,1,12136,1,1,0,280,0,1
164,6,3889,1,0,0,483,0,1
435,1,5725,1,1,0,178,0,1
221,3,4568,1,1,0,321,0,1
279,5,7455,1,0,0,282,0,1
331,1,5218,1,0,0,279,0,1
1060,3,6693,1,0,0,196,0,1
550,1,4729,1,0,0,255,0,1
361,2,9522,1,1,0,297,0,1
101,1,8145,1,1,0,246,0,1
733,6,12721,1,0,0,16,0,1
682,3,12059,1,1,1,215,0,1
427,1,12832,1,1,1,36,0,1
696,4,8839,1,1,0,474,0,1
862,2,6823,1,0,1,218,0,1
487,1,8566,1,1,0,221,0,1
617,6,3056,1,0,0,12,0,1
772,2,4132,1,1,0,74,0,1
7,4,11994,1,1,0,177,0,1
403,4,9520,1,1,0,177,0,1
978,4,7752,1,1,0,171,0,1
536,2,9190,1,1,1,488,0,1
589,2,3672,1,0,0,170,0,1
227,5,7104,1,1,0,409,0,1
873,3,4476,1,1,0,73,0,1
10,5,5945,1,0,1,60,0,1
287,2,12358,1,1,0,50,0,1
634,3,7449,1,1,0,245,0,1
225,2,4973,1,1,0,453,0,1
998,5,5262,1,1,1,388,0,1
662,6,6043,1,0,0,325,0,1
769,2,13365,1,1,0,109,0,1
836,2,7901,1,1,0,513,0,1
317,3,3469,1,0,0,65,0,1
51,3,8550,1,1,1,11,0,1
909,4,7317,1,0,0,276,0,1
929,1,9556,1,1,0,404,0,1
73,5,4765,1,1,0,180,0,1
22,6,3448,1,0,0,272,0,1
1110,5,3204,1,0,0,310,0,1
447,2,6548,1,1,0,50,0,1
764,1,4605,1,1,0,34,0,1
308,5,8988,1,0,0,396,0,1
388,6,8911,1,0,0,432,0,1
777,3,2962,1,0,1,113,0,1
901,6,4727,1,0,0,483,0,1
1111,2,3832,1,0,0,477,0,1
572,4,7373,1,1,0,474,0,1
63,5,8325,1,1,0,37,0,1
899,5,4747,1,0,0,194,0,1
471,4,5789,1,0,0,26,0,1
665,2,6766,1,0,0,139,0,1
482,6,9630,1,0,0,83,0,1
242,4,2519,1,0,0,243,0,1
937,3,6283,1,0,0,172,0,1
1093,5,9142,1,1,0,24,0,1
1071,2,6322,1,0,1,356,0,1
541,1,14755,1,1,0,534,0,1
156,1,11600,1,1,0,148,0,1
649,5,4068,1,0,0,282,0,1
725,4,5197,1,0,1,339,0,1
132,1,4791,1,0,0,47,0,1
295,1,6597,1,1,0,178,0,1
699,3,9161,1,1,0,190,0,1
72,3,3378,1,0,0,39,0,1
132,5,7544,1,1,0,182,0,1
473,1,5352,1,1,0,241,0,1
5,2,6108,1,1,1,97,0,1
224,6,5232,1,0,0,46,0,1
600,1,9552,1,1,0,548,0,1
327,2,6240,1,0,0,2,0,1
271,4,6824,1,0,0,142,0,1
11,2,3813,1,0,1,78,0,1
700,4,5587,1,1,0,9,0,1
194,1,3971,1,0,0,53,0,1
607,6,1425,1,0,0,96,0,1
982,5,9097,1,1,0,263,0,1
857,5,6834,1,1,0,21,0,1
410,2,7678,1,1,0,230,0,1
1042,1,6999,1,0,1,371,0,1
210,5,3085,1,0,1,117,0,1
1088,3,3733,1,0,1,72,0,1
939,5,5726,1,0,0,316,0,1
296,3,5935,1,1,1,209,0,1
985,6,9171,1,0,0,289,0,1
950,2,6763,1,1,0,292,0,1
56,6,7457,1,0,0,31,0,1
344,2,10686,1,1,0,513,0,1
451,5,4690,1,0,0,207,0,1
1037,3,6279,1,0,0,449,0,1
1095,3,4004,1,0,0,99,0,1
912,3,4552,1,0,0,121,0,1
136,6,4959,1,0,0,355,0,1
98,5,5566,1,1,0,527,0,1
525,4,9978,1,1,0,249,0,1
513,4,17623,1,1,1,367,0,-1
1076,3,3407,1,0,0,293,0,1
908,6,1943,1,0,0,197,0,1
