Store,DayOfWeek,Date,Sales,Open,Promo,StateHoliday,SchoolHoliday
564,5,2013-07-26,5081,1,0,0,1
262,2,2013-07-23,16786,1,0,0,1
103,2,2013-09-03,3450,1,0,0,0
743,6,2015-05-02,2661,1,0,0,0
567,6,2013-12-28,3583,1,0,0,0
770,3,2014-09-10,5201,1,0,0,0
48,2,2013-04-23,4629,1,1,0,0
613,3,2013-04-17,4341,1,0,0,0
577,5,2014-01-31,5764,1,0,0,0
1103,4,2013-09-12,4284,1,1,0,0
447,5,2014-11-21,4750,1,0,0,0
51,3,2013-08-14,8550,1,1,0,1
461,6,2015-01-10,5242,1,0,0,0
329,4,2015-03-26,6625,1,0,0,0
320,5,2014-01-17,11765,1,0,0,0
405,4,2014-01-02,3485,1,0,0,1
733,6,2014-07-26,12721,1,0,0,0
105,4,2015-05-28,4620,1,0,0,1
215,2,2014-04-01,7887,1,1,0,0
245,5,2015-07-24,9164,1,0,0,0
358,4,2013-08-22,6413,1,0,0,1
1097,5,2014-03-07,9699,1,1,0,0
1076,4,2014-12-18,5229,1,1,0,0
337,6,2015-04-11,5504,1,0,0,0
1093,5,2015-06-05,9142,1,1,0,0
25,3,2015-02-11,11707,1,0,0,0
471,4,2014-02-13,5789,1,0,0,0
677,2,2015-06-16,7748,1,1,0,0
167,6,2013-12-07,6081,1,0,0,0
1032,5,2014-11-07,10772,1,1,0,0
401,3,2013-03-13,5307,1,0,0,0
846,6,2013-04-13,4951,1,0,0,0
1088,3,2014-12-17,7493,1,1,0,0
631,5,2014-01-03,4495,1,0,0,1
764,1,2013-06-17,4605,1,1,0,0
986,4,2015-05-07,5763,1,1,0,0
86,1,2013-09-09,7271,1,1,0,0
63,5,2015-01-16,8325,1,1,0,0
566,5,2013-05-24,3934,1,0,0,0
817,3,2014-04-09,21017,1,0,0,0
466,3,2014-03-05,10542,1,1,0,0
318,1,2014-12-29,9231,1,0,0,1
782,5,2013-08-02,5402,1,1,0,1
157,1,2014-06-16,15126,1,1,0,0
744,1,2013-04-15,5908,1,0,0,0
173,2,2014-08-26,7439,1,0,0,0
320,6,2013-01-05,12005,1,0,0,0
948,1,2013-06-10,6300,1,0,0,0
565,4,2015-06-11,5435,1,0,0,0
938,1,2014-11-03,14156,1,1,0,1
447,2,2014-01-07,6548,1,1,0,0
410,1,2015-03-23,5434,1,0,0,0
405,3,2013-10-02,3973,1,0,0,0
194,1,2015-03-09,3971,1,0,0,0
943,1,2014-02-17,8957,1,1,0,0
56,3,2015-01-28,7212,1,1,0,0
810,5,2015-03-27,4707,1,0,0,1
563,2,2013-04-23,5650,1,1,0,0
715,2,2013-03-19,8390,1,1,0,0
720,4,2013-05-23,5485,1,0,0,0
782,1,2015-07-27,7308,1,1,0,1
10,5,2013-05-10,5945,1,0,0,1
915,2,2013-07-02,4861,1,1,0,0
443,2,2014-07-08,3437,1,0,0,0
622,6,2013-06-22,2931,1,0,0,0
709,5,2014-03-14,9127,1,0,0,0
1067,3,2014-03-05,6221,1,1,0,1
785,3,2013-07-10,3492,1,0,0,0
76,5,2013-07-19,10694,1,1,0,0
215,1,2013-09-23,6946,1,1,0,0
898,2,2013-04-02,6379,1,0,0,1
476,4,2014-07-31,6772,1,1,0,1
231,1,2013-04-08,5909,1,1,0,0
6,2,2014-02-25,4152,1,0,0,1
1088,3,2013-07-24,3733,1,0,0,1
510,3,2014-09-03,9489,1,1,0,0
971,2,2013-11-05,9760,1,1,0,0
258,1,2013-06-10,5008,1,0,0,0
342,3,2015-02-11,8514,1,0,0,0
1000,2,2013-10-29,5992,1,0,0,1
620,4,2013-11-07,7133,1,1,0,0
774,2,2013-04-02,6323,1,0,0,1
357,3,2013-08-28,7670,1,1,0,0
11,2,2013-12-31,3813,1,0,0,1
604,3,2014-01-22,8743,1,1,0,0
1013,2,2014-10-21,4073,1,1,0,0
278,3,2013-08-28,7077,1,1,0,0
225,6,2015-06-20,3282,1,0,0,0
531,2,2013-09-03,4582,1,0,0,0
23,2,2014-02-25,3443,1,0,0,0
438,5,2014-05-30,5541,1,0,0,1
482,6,2013-08-31,9630,1,0,0,0
92,5,2013-10-25,5719,1,1,0,1
1080,1,2013-11-18,13113,1,1,0,0
567,6,2014-04-26,3088,1,0,0,0
202,4,2014-08-14,4919,1,0,0,1
623,3,2014-11-26,7306,1,1,0,0
327,3,2015-05-13,8721,1,0,0,0
17,5,2013-09-06,5186,1,0,0,0
263,3,2015-01-07,5714,1,1,0,0
852,2,2013-07-09,4407,1,0,0,1
1072,5,2015-01-16,7409,1,1,0,0
431,2,2013-12-17,14514,1,1,0,0
696,1,2014-09-08,7634,1,0,0,0
1019,6,2013-04-27,8219,1,0,0,0
607,6,2014-08-09,1425,1,0,0,0
758,2,2014-08-05,6157,1,1,0,1
213,3,2015-05-20,9124,1,1,0,0
650,3,2014-03-12,5100,1,0,0,0
857,5,2014-03-07,6834,1,1,0,0
28,6,2013-06-29,2577,1,0,0,0
49,6,2014-10-18,6424,1,0,0,0
685,3,2013-11-20,7952,1,1,0,0
991,3,2014-12-03,6996,1,1,0,0
240,5,2014-01-24,4631,1,1,0,0
13,5,2015-05-15,4898,1,0,0,0
895,3,2013-06-19,7827,1,1,0,0
524,6,2013-04-27,6343,1,0,0,0
652,5,2013-09-13,7459,1,1,0,0
685,4,2013-02-28,7412,1,0,0,0
769,2,2014-09-30,13365,1,1,0,0
670,6,2013-02-16,5138,1,0,0,0
893,2,2013-12-03,10130,1,1,0,0
777,3,2015-04-08,3398,1,0,0,1
334,3,2014-04-23,3595,1,0,0,1
272,3,2015-01-14,6549,1,1,0,0
456,3,2013-09-04,5631,1,0,0,0
244,5,2013-05-31,8093,1,1,0,0
361,2,2013-07-09,4753,1,0,0,0
536,5,2013-12-27,8625,1,0,0,1
811,3,2014-09-03,4227,1,1,0,0
107,3,2013-07-17,6415,1,1,0,1
551,5,2015-01-09,5473,1,1,0,0
15,6,2013-12-28,6315,1,0,0,0
234,2,2015-04-14,13291,1,1,0,0
287,2,2014-01-07,12358,1,1,0,0
266,4,2015-06-11,4083,1,0,0,0
912,3,2013-01-30,4552,1,0,0,0
851,2,2015-07-28,5652,1,1,0,0
251,2,2014-01-14,15816,1,0,0,0
742,5,2013-09-13,7888,1,1,0,0
312,5,2015-06-05,7093,1,1,0,0
1063,1,2013-08-05,4212,1,0,0,0
887,5,2013-04-12,7906,1,1,0,0
162,5,2014-01-24,8938,1,1,0,0
463,4,2015-04-02,8528,1,1,0,1
395,6,2015-01-31,2985,1,0,0,0
979,5,2015-02-13,5665,1,0,0,0
1008,3,2013-05-29,5729,1,1,0,0
598,6,2013-10-12,6766,1,0,0,0
326,2,2013-10-01,4037,1,0,0,0
938,1,2015-04-13,14196,1,1,0,0
808,3,2013-04-03,5578,1,0,0,1
1075,2,2013-12-03,13562,1,1,0,0
1081,4,2013-10-03,5623,1,0,a,1
816,1,2014-10-20,5668,1,1,0,0
416,4,2013-12-12,11245,1,0,0,0
986,5,2014-06-20,8968,1,1,0,0
1082,6,2013-04-27,5700,1,0,0,0
1054,3,2013-12-04,8696,1,1,0,0
259,2,2013-02-12,9320,1,0,0,0
1105,5,2014-10-24,4817,1,1,0,0
772,2,2013-11-05,4132,1,1,0,0
577,6,2013-11-02,4412,1,0,0,0
650,4,2014-06-12,4982,1,0,0,1
801,1,2014-08-25,4650,1,0,0,0
854,5,2014-01-03,5728,1,0,0,1
793,4,2014-01-30,3250,1,0,0,0
769,1,2013-07-08,9206,1,0,0,0
760,4,2013-11-14,6447,1,0,0,0
1071,3,2013-10-30,5641,1,0,0,0
156,1,2015-03-02,11600,1,1,0,0
210,5,2013-12-27,3085,1,0,0,1
1106,1,2014-08-18,6674,1,1,0,1
1052,3,2014-02-26,6271,1,0,0,0
600,3,2014-09-10,5147,1,0,0,0
479,1,2014-06-16,15849,1,1,0,0
19,2,2014-07-22,5551,1,0,0,1
434,1,2014-03-31,11665,1,1,0,0
333,4,2013-05-02,14139,1,1,0,1
518,3,2013-06-26,3943,1,0,0,0
647,6,2013-11-09,4275,1,0,0,0
601,4,2015-05-07,4390,1,1,0,0
1091,3,2013-07-03,8069,1,1,0,1
428,1,2015-06-01,8365,1,1,0,1
486,4,2014-10-23,4924,1,1,0,0
972,1,2013-01-14,2572,1,0,0,0
1044,5,2014-09-12,4946,1,0,0,1
1061,3,2013-11-13,5662,1,0,0,0
176,3,2014-08-20,5775,1,1,0,0
480,6,2015-03-07,2569,1,0,0,0
899,3,2013-07-17,5402,1,1,0,1
429,6,2015-01-31,5492,1,0,0,0
590,1,2015-06-22,3997,1,0,0,0
669,1,2014-05-19,4568,1,1,0,0
89,6,2015-03-21,4870,1,0,0,0
82,4,2014-10-16,6930,1,0,0,1
283,5,2013-04-26,6768,1,1,0,0
609,2,2014-02-18,5376,1,1,0,0
589,2,2014-03-11,3672,1,0,0,0
769,4,2014-06-12,8056,1,0,0,0
989,4,2014-01-09,6491,1,1,0,0
937,3,2014-06-11,6283,1,0,0,0
138,6,2014-05-17,2688,1,0,0,0
788,1,2014-01-20,19931,1,1,0,0
364,1,2014-02-24,3748,1,0,0,0
360,1,2015-06-08,7600,1,0,0,0
813,3,2014-09-10,4766,1,0,0,1
403,4,2014-12-04,9520,1,1,0,0
123,2,2015-07-28,11075,1,1,0,1
435,1,2014-04-28,5725,1,1,0,0
1106,3,2014-02-05,5503,1,1,0,0
73,5,2013-12-06,4765,1,1,0,0
992,1,2013-05-06,6405,1,0,0,0
76,5,2015-02-06,9765,1,1,0,0
654,5,2013-01-11,6622,1,1,0,0
122,4,2013-01-31,4909,1,0,0,0
985,2,2015-06-16,8743,1,1,0,0
334,5,2015-03-20,5965,1,1,0,0
151,2,2014-08-12,5197,1,0,0,1
756,2,2015-06-09,14767,1,0,0,0
1004,2,2013-06-04,4854,1,1,0,0
1027,6,2014-05-24,10247,1,0,0,0
315,5,2015-03-20,4146,1,1,0,0
317,5,2014-05-30,6619,1,0,0,0
699,3,2014-11-05,9161,1,1,0,0
297,6,2013-10-05,4439,1,0,0,0
595,1,2013-08-19,12658,1,0,0,0
444,4,2014-08-28,10808,1,0,0,1
626,5,2013-04-19,7712,1,0,0,0
171,4,2013-05-23,6101,1,0,0,0
